utterance_id,client_text,condition,reply,val_t,aro_t,val_s,aro_s,delta_valence,delta_arousal
1,"I've been feeling really overwhelmed lately. My anxiety about my health has gotten so bad that I can barely sleep at night. I keep having these heart palpitations, and even though the doctors say I'm fine, I can't shake the fear that something terrible is going to happen to me. I just keep thinking, ""What if this is the time something goes wrong?"" It's really affecting my work and my day-to-day life.",baseline,"It sounds like you're carrying a heavy burden with all that anxiety, especially when it interferes with your sleep and daily activities. It's completely understandable to feel fearful when your health is on your mind, even if the doctors have reassured you. Those ""what if"" thoughts can be really powerful and distressing. Can you share more about what happens in those moments when you feel overwhelmed by those thoughts?",-0.4512318500000001,0.3406992,-0.6374355554580691,0.1144380569458007,0.1862037054580689,0.2262611430541992
1,"I've been feeling really overwhelmed lately. My anxiety about my health has gotten so bad that I can barely sleep at night. I keep having these heart palpitations, and even though the doctors say I'm fine, I can't shake the fear that something terrible is going to happen to me. I just keep thinking, ""What if this is the time something goes wrong?"" It's really affecting my work and my day-to-day life.",emotion,"It sounds like you’re going through an incredibly tough time right now, and I can understand how overwhelming it must feel to be caught in that cycle of anxiety about your health. The heart palpitations and sleepless nights can be really distressing, especially when you’re trying to manage your daily responsibilities. 

I want to explore your thoughts a bit more. When you think, ""What if this is the time something goes wrong?"" it seems to create a lot of fear for you. Can we talk about what evidence you have for that thought? What have the doctors said that might contradict this fear? Finding those pieces of information might help to lessen the grip of that worry.",-0.4512318500000001,0.3406992,-0.6374355554580691,0.1144380569458007,0.1862037054580689,0.2262611430541992
1,"I've been feeling really overwhelmed lately. My anxiety about my health has gotten so bad that I can barely sleep at night. I keep having these heart palpitations, and even though the doctors say I'm fine, I can't shake the fear that something terrible is going to happen to me. I just keep thinking, ""What if this is the time something goes wrong?"" It's really affecting my work and my day-to-day life.",dissonance,"It sounds like you’re really grappling with a lot of anxiety surrounding your health right now. The feeling of being overwhelmed and having those heart palpitations must be incredibly distressing. Even with the reassurance from doctors, it's understandable to still feel that nagging fear about what could happen next. 

I wonder if underneath the surface of those thoughts, there might be some deeper worries or feelings that you're not fully expressing. It's okay to feel scared or uncertain, especially when it comes to health. How do you feel when you think about the possibility of something going wrong? What do you think might be adding to that fear?",-0.4512318500000001,0.3406992,-0.6374355554580691,0.1144380569458007,0.1862037054580689,0.2262611430541992
2,"When I feel the palpitations, my heart starts racing, and I immediately think, ""What if this is a heart attack?"" or ""What if I'm going to just drop dead?"" It's like my mind goes to the worst possible scenario. I try to remind myself that the doctors have said I'm fine, but it just doesn't seem real in those moments. I get so caught up in the fear that I can't focus on anything else. It just spirals from there.",baseline,"It sounds really overwhelming to experience those palpitations and have your mind jump to such frightening thoughts. It's completely understandable to feel fear in those moments, especially when your body is reacting strongly. You've done a great job reminding yourself of what the doctors have said, but it can be hard to hold onto that reassurance when panic sets in. Can you think of a time when you were able to calm yourself down during a similar experience?",-0.3346499999999999,0.3226546999999999,-0.5848075747489929,0.4555697441101074,0.250157574748993,0.1329150441101074
2,"When I feel the palpitations, my heart starts racing, and I immediately think, ""What if this is a heart attack?"" or ""What if I'm going to just drop dead?"" It's like my mind goes to the worst possible scenario. I try to remind myself that the doctors have said I'm fine, but it just doesn't seem real in those moments. I get so caught up in the fear that I can't focus on anything else. It just spirals from there.",emotion,"It sounds incredibly overwhelming to experience those racing thoughts and physical sensations at the same time. When your heart starts racing, it makes sense that your mind would jump to those worst-case scenarios. It's very common for fear to take hold in those moments, especially when it feels so real and immediate.

I appreciate that you're trying to remind yourself of the reassurance from your doctors, but it can be hard to hold onto that when fear takes over. Can we explore some of those thoughts together? What evidence do you have that supports the idea that you're in danger, and how does that compare to the evidence that suggests you are safe? This might help us to challenge those spiraling thoughts and find some grounding when fear starts to rise.",-0.3346499999999999,0.3226546999999999,-0.5848075747489929,0.4555697441101074,0.250157574748993,0.1329150441101074
2,"When I feel the palpitations, my heart starts racing, and I immediately think, ""What if this is a heart attack?"" or ""What if I'm going to just drop dead?"" It's like my mind goes to the worst possible scenario. I try to remind myself that the doctors have said I'm fine, but it just doesn't seem real in those moments. I get so caught up in the fear that I can't focus on anything else. It just spirals from there.",dissonance,"It sounds like you're experiencing a lot of intense fear when those palpitations hit, and it makes sense that your mind jumps to the worst-case scenarios in those moments. You mentioned trying to remind yourself that the doctors have said you’re fine, but I can see how that reassurance might feel distant or unconvincing when you're in the grip of fear.

I wonder if there’s a part of you that feels even more scared or anxious than what you’re expressing. It’s common for people to have thoughts that don’t fully match the feelings they’re experiencing. What do you think might be behind those racing thoughts, or what else might be surfacing for you during those moments?",-0.3346499999999999,0.3226546999999999,-0.5848075747489929,0.4555697441101074,0.250157574748993,0.1329150441101074
3,"Well, the last time I went to the doctor, they did an EKG and said my heart was normal. They also checked my blood pressure and said it was fine too. I remember them telling me that palpitations can happen due to anxiety and stress, but in the moment, it just feels like they might have missed something. I guess I just keep thinking, “What if there’s something they didn’t catch?” It’s hard to trust that everything is okay.",baseline,"It sounds like you're feeling a lot of uncertainty and worry, especially after your doctor's visit. It's completely understandable to have those “what if” thoughts, especially when it comes to something as important as your health. You’ve been given some reassurance from your doctor, but it’s still hard to shake that feeling of doubt. What do you think is making it difficult for you to trust that everything is okay?",-0.1411276999999999,0.1176481,-0.4058449864387512,0.0428014993667602,0.2647172864387512,0.0748466006332397
3,"Well, the last time I went to the doctor, they did an EKG and said my heart was normal. They also checked my blood pressure and said it was fine too. I remember them telling me that palpitations can happen due to anxiety and stress, but in the moment, it just feels like they might have missed something. I guess I just keep thinking, “What if there’s something they didn’t catch?” It’s hard to trust that everything is okay.",emotion,"It sounds really challenging to feel that uncertainty, especially when it comes to something as important as your health. It's understandable to worry that something might have been overlooked, particularly when you're experiencing those palpitations. Sometimes, our minds can amplify these fears, making it hard to trust the reassurance we’ve received.

Can we explore some of those thoughts together? What evidence do you have that supports the idea that something might be wrong? And are there any alternative explanations that might help you feel a bit more at ease?",-0.1411276999999999,0.1176481,-0.4058449864387512,0.0428014993667602,0.2647172864387512,0.0748466006332397
3,"Well, the last time I went to the doctor, they did an EKG and said my heart was normal. They also checked my blood pressure and said it was fine too. I remember them telling me that palpitations can happen due to anxiety and stress, but in the moment, it just feels like they might have missed something. I guess I just keep thinking, “What if there’s something they didn’t catch?” It’s hard to trust that everything is okay.",dissonance,"It sounds like you're feeling a lot of uncertainty and anxiety about your health, even though the doctors have reassured you that everything is normal. I can sense that while you’re expressing some concern, there might be a deeper level of worry that you’re experiencing, especially when you think about the possibility of something being overlooked. 

I wonder if part of you feels more scared or uneasy than what you're saying suggests. It's completely understandable to have those feelings, especially when it comes to our health. What do you think might be behind that worry?",-0.1411276999999999,0.1176481,-0.4058449864387512,0.0428014993667602,0.2647172864387512,0.0748466006332397
4,"I guess if I could really believe that my heart is fine, I might not panic as much when I feel the palpitations. Maybe I could try to remind myself that they’re just a response to stress or anxiety, instead of a sign of something wrong. But it’s so hard to let go of that fear—especially when it feels so real in the moment. It’s like my mind just wants to jump to the worst-case scenario every time. How do I even start to change that?",baseline,It sounds like you're really aware of how your thoughts are impacting your feelings during those moments of anxiety. It’s completely understandable to feel overwhelmed when your body is reacting in a way that feels alarming. Acknowledging that those palpitations are a normal response to stress is a great first step. Have you thought about any small ways you could challenge that worst-case scenario thinking when you feel the palpitations?,-0.1888905999999999,0.2632733499999999,-0.5406486988067628,0.1499876976013183,0.3517580988067629,0.1132856523986816
